"","HHID","PN","MB014","MC150","MC270M1","MC018","MZ216","MQ015","MQ020","MQ025","MQ030","MQ035","MQ066","MQ107","MQ115","MQ121"
"184","011936","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","011937","010",NA,5,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","011948","020",NA,1,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","011983","040",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","011993","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,400
"189","011993","020",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,400
"190","011999","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","011999","020",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","012005","010",NA,5,NA,5,17,NA,6200,NA,NA,NA,NA,NA,NA,NA
"193","012009","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","012009","040",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","012033","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","012033","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","012033","011",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","012033","011",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","012094","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","012094","011",11,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","012104","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","012104","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","012112","030",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
