"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OX003_R","OX007_R","OZ077_R","OX060_R","OX065_R","OZ066_R","OX004_R","OX067_R","OZ008_R","OZ009_R","OZ010_R","OZ011_R","OZ012_R","OZ013_R","OZ014_R","OZ015_R","OZ016_R","OZ076","OZ078","OZ080","OZ081","OZ087","OZ089","OZ090","OZ092","OZ093","OZ095","OZ096","OZ098","OZ099","OZ100","OZ101","OZ102","OZ103","OZ104","OZ105","OZ106","OZ107","OZ108","OZ110","OZ112","OZ113","OZ114","OZ117","OZ118","OZ119","OZ120","OZ122","OZ123","OZ124","OZ125","OZ126","OZ127","OZ134","OZ136","OZ137","OZ138","OZ151","OZ153","OZ154","OZ155","OZ156","OZ157","OZ158","OZ159","OZ160","OZ161","OZ162","OZ163","OZ164","OZ165","OZ166","OZ167","OZ168","OZ169","OZ170","OZ171","OZ172","OZ173","OZ174","OZ175","OZ176","OZ177","OZ178","OZ179","OZ180","OZ181","OZ182","OZ183","OZ184","OZ185","OZ186","OZ187","OZ188","OZ189","OZ190","OZ198","OZ199","OZ201","OZ204","OZ205","OZ206","OZ211","OZ212","OZ213","OZ216","OZ219","OZ230","OZ231","OZ232","OX090_R","OX501_R","OX502_R","OX503_R","OX504_R","OX505_R","OX506_R","OX507_R","OX508_R","OX509_R","OX510_R","OX511_R","OX512_R","OX513_R","OX514_R","OX515_R","OX516_R","OX517_R","OX518_R","OX519_R","OX520_R","OX521_R","OX522_R","OX523_R","OX524_R","OX525_R","OZ240","OZ241","OZ242","OZ244","OZ246","OZ254","OZ255","OZ256","OZ257","OZ258","OZ260","OZ261","OZ262","OZ264","OZ265","OZ266","OZ267","OZ269","OZ270","OZ274","OZ275","OZ276","OVDATE","OVERSION","year"
"1194","907585","020","0","0","010",5,5,1,2,1,1,1,1,1,8,1953,5,9,2,4,2,1,NA,1,NA,1,1,1,5,3,NA,5,5,2012,1,NA,5,5,5,1,1,5,5,5,5,5,1,NA,NA,NA,12,NA,NA,5,5,5,1,1,5,5,5,3,1,20,52,5,0,0,185000,185000,180000,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,9000,9000,0,0,0,0,10000,10000,0,0,5,2006,5,NA,NA,NA,NA,14,5,1,5,5,1,1,1,2,1,1,2,2,1,2,1,3,1,3,1,2,1,3,3,1,3,74,16,2,2,1,1,5,1,NA,969,5,2,NA,NA,NA,5,5,5,5,5,4200,5,1,4,5,NA,1,3,2,"14"
"1195","907843","010","0","0",NA,1,1,1,1,3,3,1,6,6,4,1951,5,1,10,1,1,5,5,5,5,1,1,6,NA,1,NA,5,7,2012,1,NA,5,5,5,5,1,5,5,5,5,5,5,NA,NA,NA,0,NA,NA,5,5,1,5,5,5,NA,1,1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,10150,10150,0,0,5,2012,1,1,1,3,4,7,1,1,5,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,3,2,1,1,2,1,2,18,68,1,2,1,5,5,1,NA,811,1,2,NA,NA,NA,5,5,5,5,5,-9750,3,NA,2,5,NA,1,3,2,"14"
"1196","908133","010","0","0",NA,1,1,1,1,3,3,2,6,6,1,1953,5,6,3,2,1,5,5,5,5,1,1,5,NA,3,NA,5,7,2012,1,NA,1,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,4,NA,NA,5,1,5,1,5,5,NA,5,3,1,30,49,5,0,0,80000,80000,0,0,0,0,0,0,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,49999,0,0,50000,50000,0,0,0,0,0,0,0,99999996,5,NA,1,NA,NA,0,0,16,1,1,5,5,3,1,1,1,2,2,1,1,1,2,2,1,1,3,2,1,2,2,3,3,2,13,60,6,1,2,5,5,1,NA,525,7,2,NA,NA,1,1,5,5,5,5,206500,6,NA,4,5,NA,1,3,2,"14"
"1197","908282","010","0","0",NA,1,1,1,1,3,3,1,6,6,2,1948,5,5,2,3,1,5,5,5,5,1,1,4,NA,2,NA,5,6,2012,1,NA,5,5,5,1,1,5,5,5,5,5,5,NA,NA,NA,2,NA,NA,5,5,5,5,1,1,NA,5,1,NA,NA,NA,5,0,0,120000,120000,82000,82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,10000,10000,0,0,0,0,6000,6000,0,0,5,2010,5,1,NA,4,2,12,5,1,5,5,1,2,1,2,1,2,2,2,2,2,2,2,1,3,3,1,2,1,2,1,3,28,77,6,2,1,5,5,1,NA,775,7,2,NA,NA,NA,5,5,5,5,5,42500,6,NA,4,5,NA,5,2,2,"14"
"1198","908387","010","0","0","020",1,1,5,1,2,2,1,1,1,11,1953,5,10,10,2,1,5,5,5,5,1,1,1,5,3,NA,5,11,2012,1,NA,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,0,NA,NA,5,1,5,1,5,5,5,5,5,2,48,52,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,0,0,NA,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,1,1,1,2,3,93,6,7,2,2,5,5,1,NA,551,7,2,NA,NA,NA,5,5,5,5,5,NA,4,NA,4,5,NA,1,6,2,"14"
"1199","908387","020","0","0","010",5,5,1,2,1,1,2,1,1,5,1954,5,10,10,4,2,1,NA,5,5,1,1,1,NA,3,NA,5,11,2012,1,NA,5,5,5,5,5,5,5,5,5,5,1,NA,NA,NA,0,NA,NA,5,1,5,1,5,5,5,5,5,1,40,NA,5,0,0,150001,499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,5,NA,5,NA,NA,NA,NA,12,1,5,5,5,1,1,1,2,1,1,1,2,2,1,1,1,3,1,1,3,1,3,1,1,2,61,61,7,2,1,5,5,1,5,998,7,2,NA,NA,NA,1,5,5,1,1,155000,3,NA,3,5,NA,1,6,2,"14"
"1200","908516","010","0","0","020",5,5,1,2,1,1,2,1,1,1,1952,5,1,2,2,1,5,5,5,5,1,1,1,NA,1,NA,5,11,2012,1,NA,5,5,5,1,1,5,5,5,5,5,1,NA,NA,NA,0,NA,NA,5,1,5,1,5,5,5,5,5,1,40,52,5,0,0,200000,200000,20001,99999996,0,0,0,0,0,149999,40001,99999996,0,0,0,99999996,0,0,0,0,0,0,0,0,0,149999,0,0,5001,24999,0,0,0,0,12000,12000,0,0,5,2004,5,NA,NA,0,1,16,5,1,5,5,1,2,1,1,1,2,2,2,2,2,2,1,2,3,1,1,3,2,2,1,1,72,69,6,2,2,5,5,1,1,686,1,2,NA,NA,NA,5,5,5,1,5,-3421,5,NA,3,5,NA,5,7,2,"14"
"1201","908516","020","0","0","010",1,1,5,1,2,2,1,1,1,10,1952,5,2,1,4,2,5,5,5,5,1,1,1,5,3,NA,5,11,2012,1,NA,5,5,5,1,1,5,5,1,1,1,1,NA,NA,NA,0,NA,NA,5,5,1,5,5,5,5,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2003,1,1,NA,0,0,15,1,1,5,5,1,1,1,1,1,1,1,2,2,2,1,1,3,2,3,2,1,1,1,2,3,90,61,6,2,1,1,5,1,NA,615,1,2,NA,NA,NA,1,5,5,1,5,NA,6,1,5,5,NA,1,3,2,"14"
"1202","908679","010","0","0","020",5,5,1,2,1,1,1,1,1,3,1951,5,3,11,1,2,5,5,5,5,1,1,1,5,2,NA,5,5,2012,1,NA,5,1,5,5,5,5,5,5,5,5,5,NA,NA,1,5,NA,5,5,5,1,5,5,1,1,1,5,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,5,1,1,3,3,12,1,1,5,5,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,3,2,3,1,1,1,39,41,7,2,2,5,5,1,NA,949,1,2,NA,NA,NA,5,5,5,1,5,0,1,NA,6,5,NA,1,6,2,"14"
"1203","908679","020","0","0","010",1,1,5,1,2,2,2,1,1,11,1963,5,11,3,3,1,5,5,8,NA,1,5,1,NA,3,NA,5,5,2012,1,NA,5,1,5,1,5,5,5,5,5,1,5,NA,NA,NA,5,NA,NA,5,5,5,5,5,5,5,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,1,1,0,0,11,1,1,5,5,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,3,1,3,3,2,3,96,59,7,2,2,5,5,1,NA,147,5,2,NA,NA,NA,1,5,5,5,5,NA,1,NA,5,5,NA,1,4,2,"14"
