"","HHID","PN","PSUBHH","OSUBHH","PPN_SP","PCSR","PFAMR","PFINR","PP155","PP156","PP195","PP002","PP196","PP166","PP197","PP168","PP005","PP006","PP059","PP007","PP009","PP014","PP015","PP016","PP017","PP123","PP018","PP181","PP182","PP020","PP028","PP102","PP029","PP157","PP107","PP175","PP176","PP177","PP178","PP032","PP111","PP112","PP183","PP047","PP113","PP149","PP150","PP180","PP097","PP041","PP185","PP056","PVDATE","PVERSION","year"
"350","080712","010","0","0","020",5,5,1,14,4,1,1,"more",55,"fallen",70,80,90,2,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,40,NA,998,NA,998,60,NA,70,35,NA,2,30,40,2,NA,2,1,4,1,"16"
"351","080712","020","0","0","010",1,1,5,11,0,1,1,NA,NA,NA,NA,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,20,5,NA,0,NA,0,8,NA,9,2,NA,2,3,3,3,NA,1,1,4,1,"16"
"352","080860","020","0","0",NA,1,1,1,12,0,1,1,"less",50,"fallen",0,60,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,0,25,NA,NA,25,0,NA,50,25,NA,2,0,10,3,NA,3,1,4,1,"16"
"353","081173","020","0","0",NA,1,1,1,14,1,1,1,"more",20,"fallen",0,50,100,998,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,50,NA,20,20,50,50,NA,50,50,2,1,NA,NA,3,NA,2,1,4,1,"16"
"354","081301","040","0","0",NA,1,1,1,12,0,1,1,"less",0,"gained",10,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,50,0,80,NA,NA,0,NA,NA,100,50,2,1,NA,NA,3,NA,3,2,4,1,"16"
"355","081342","010","0","0","040",1,1,5,12,0,1,1,NA,NA,NA,NA,80,90,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,60,NA,10,5,5,10,NA,20,35,NA,2,40,20,2,NA,3,1,4,1,"16"
"356","081342","040","0","0","010",5,5,1,16,0,1,1,"less",20,"fallen",20,70,20,0,NA,1,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,20,NA,10,5,10,10,NA,60,30,NA,2,20,40,3,NA,3,1,5,1,"16"
"357","082168","020","0","0",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,"16"
"358","082552","010","0","0",NA,1,1,1,10,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,80,100,NA,0,NA,50,90,NA,50,50,2,1,NA,NA,2,NA,1,1,10,1,"16"
"359","082952","020","0","0",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"16"
"360","083034","010","0","0",NA,1,1,1,14,0,1,1,"more",10,"fallen",0,10,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,25,10,NA,10,10,2,10,NA,10,50,1,2,20,10,3,NA,3,1,4,1,"16"
"361","083217","020","1","1",NA,1,1,1,10,2,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,998,NA,0,998,NA,1,NA,NA,3,NA,8,1,5,1,"16"
"362","083535","010","0","0","020",1,1,1,15,0,1,1,"less",80,"fallen",80,80,80,5,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,30,80,NA,10,0,0,50,NA,50,20,NA,2,10,70,3,NA,2,1,4,1,"16"
"363","083535","020","0","0","010",5,5,5,12,0,1,1,NA,NA,NA,NA,100,100,0,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,100,100,NA,50,0,0,100,NA,100,50,2,1,NA,NA,3,NA,3,1,4,1,"16"
"364","083860","020","0","0",NA,1,1,1,12,0,1,1,"less",50,"fallen",50,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,30,70,NA,0,NA,0,20,NA,50,0,NA,2,NA,50,1,NA,1,1,5,1,"16"
"365","083974","010","0","0","040",5,1,1,13,0,1,1,"less",0,"fallen",0,80,80,20,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,20,NA,0,NA,50,80,NA,100,50,2,1,NA,NA,1,NA,3,1,2,1,"16"
"366","083974","040","0","0","010",1,5,5,12,0,1,1,"less",NA,NA,NA,100,100,80,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,90,40,NA,5,0,5,20,NA,40,75,NA,2,40,10,2,NA,3,1,2,1,"16"
"367","084119","010","1","1",NA,1,1,1,11,1,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,30,0,0,NA,NA,50,998,NA,998,30,NA,2,30,50,3,NA,3,1,3,1,"16"
"368","084119","020","2","2","021",1,5,1,13,0,1,1,"more",75,"gained",60,25,50,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,45,45,NA,0,NA,10,25,NA,50,10,NA,2,20,25,2,NA,3,1,8,1,"16"
"369","084119","021","2","2","020",5,1,5,12,0,1,1,NA,NA,NA,NA,90,90,40,NA,1,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,75,NA,60,80,NA,50,50,90,90,NA,100,40,NA,2,90,90,2,NA,3,1,9,1,"16"
"370","084199","010","0","0","020",1,5,1,15,0,1,1,"more",10,"fallen",10,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,NA,10,10,10,10,NA,10,10,NA,2,10,10,3,NA,3,1,4,1,"16"
"371","084199","020","0","0","010",5,1,5,8,2,1,1,NA,NA,NA,NA,998,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,5,NA,NA,60,NA,NA,999,999,NA,1,NA,NA,3,NA,3,1,4,1,"16"
"372","084298","020","0","0",NA,1,1,1,15,0,1,1,"more",20,"fallen",20,90,90,50,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,20,90,NA,40,10,2,80,NA,80,10,NA,2,5,60,3,NA,2,1,4,1,"16"
"373","084687","011","0","0","811",1,1,1,11,0,1,1,"more",NA,NA,NA,0,NA,NA,0,1,NA,NA,25,NA,NA,0,0,NA,NA,20,NA,50,NA,NA,100,NA,0,NA,NA,50,NA,25,20,NA,2,10,25,3,NA,3,1,2,1,"16"
"374","084725","010","0","0",NA,1,1,1,14,1,1,1,"more",75,"gained",50,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,998,100,NA,50,0,0,75,NA,100,0,NA,2,NA,50,2,NA,1,1,7,1,"16"
"375","084788","010","0","0",NA,1,1,1,10,1,1,1,NA,NA,NA,NA,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,0,NA,NA,0,0,NA,0,998,NA,1,NA,NA,3,NA,1,1,5,1,"16"
"376","085814","010","0","0",NA,1,1,1,15,1,1,1,"more",50,"fallen",30,80,20,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,50,NA,20,5,20,25,NA,50,20,NA,2,998,NA,3,NA,3,1,4,1,"16"
"377","085937","010","0","0","020",1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,"16"
"378","086486","040","0","0",NA,1,1,1,15,0,1,1,"less",5,"gained",70,100,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70,50,NA,30,10,10,5,NA,60,60,NA,2,70,70,3,NA,3,1,2,1,"16"
"379","086648","021","1","0",NA,1,1,1,13,0,1,1,"more",20,"gained",3,20,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,10,70,NA,70,50,10,NA,NA,50,10,NA,2,10,10,3,NA,1,1,4,1,"16"
"380","086769","020","0","0","030",1,5,1,12,0,1,1,"more",40,"gained",30,60,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,20,80,NA,0,NA,0,80,NA,100,50,2,1,NA,NA,2,NA,2,1,2,1,"16"
"381","086769","030","0","0","020",5,1,5,10,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15,NA,50,0,NA,50,NA,50,30,NA,2,30,10,2,NA,2,1,3,1,"16"
"382","086893","010","0","0","020",1,1,1,15,0,1,1,"more",70,"gained",50,100,75,50,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,50,NA,30,20,10,50,NA,50,40,NA,2,30,20,3,NA,3,1,3,1,"16"
"383","086894","020","0","0",NA,1,1,1,13,1,1,1,"less",0,"gained",5,998,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,99,100,NA,100,35,0,15,NA,75,50,1,2,50,50,2,NA,3,1,3,1,"16"
"384","087153","010","2","2","011",5,1,1,15,0,1,1,"more",70,"gained",20,80,10,0,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,50,1,20,30,NA,10,0,30,60,NA,70,80,NA,2,75,20,2,NA,3,1,9,1,"16"
"385","087153","011","2","2","010",1,5,5,14,0,1,1,NA,NA,NA,NA,100,100,50,NA,1,5,95,NA,NA,NA,NA,5,5,NA,NA,NA,50,2,80,50,NA,40,40,20,NA,50,50,60,NA,2,60,40,2,NA,3,1,8,1,"16"
"386","087648","010","0","0","020",1,5,1,15,0,1,1,"more",10,"gained",10,50,0,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,100,NA,10,5,5,100,NA,100,5,NA,2,5,50,2,NA,2,1,7,1,"16"
"387","087648","020","0","0","010",5,1,5,9,4,1,1,NA,NA,NA,NA,0,NA,NA,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,998,NA,NA,NA,0,998,NA,5,5,NA,2,0,5,3,NA,3,1,7,1,"16"
"388","087695","010","0","0",NA,1,1,1,9,5,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,998,NA,NA,NA,100,998,NA,998,998,NA,1,NA,NA,3,NA,8,1,10,1,"16"
"389","089277","020","0","0",NA,1,1,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,20,NA,20,20,0,0,NA,50,0,NA,2,NA,50,3,NA,3,3,5,1,"16"
"390","112435","010","0","0","020",1,5,1,15,0,1,1,"more",100,"gained",30,100,100,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,60,40,NA,20,10,30,50,NA,50,70,NA,2,30,30,2,NA,3,1,2,1,"16"
"391","112435","020","0","0","010",5,1,5,11,0,1,1,"more",NA,NA,NA,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,0,50,NA,0,NA,0,0,NA,0,50,2,1,NA,NA,3,NA,3,1,2,1,"16"
"392","113083","010","0","0","020",5,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,"16"
