"","HHID","PN","PSUBHH","OSUBHH","PPN_SP","PCSR","PFAMR","PFINR","PP155","PP156","PP195","PP002","PP196","PP166","PP197","PP168","PP005","PP006","PP059","PP007","PP009","PP014","PP015","PP016","PP017","PP123","PP018","PP181","PP182","PP020","PP028","PP102","PP029","PP157","PP107","PP175","PP176","PP177","PP178","PP032","PP111","PP112","PP183","PP047","PP113","PP149","PP150","PP180","PP097","PP041","PP185","PP056","PVDATE","PVERSION","year"
"281","058974","020","0","0","010",5,1,5,11,0,1,1,NA,NA,NA,NA,50,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,25,NA,10,25,20,50,NA,80,50,2,1,NA,NA,3,NA,3,1,3,1,"16"
"282","059605","010","0","0",NA,1,1,1,10,2,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,0,NA,NA,0,998,NA,998,998,NA,1,NA,NA,3,NA,3,1,7,1,"16"
"283","059855","010","7","7","020",5,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,"16"
"284","059855","020","7","7","010",1,1,1,12,0,1,1,"more",100,"gained",10,0,NA,NA,100,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,50,NA,50,50,2,1,NA,NA,3,NA,3,1,3,1,"16"
"285","059954","010","0","0","040",5,1,1,14,1,1,1,"less",6,"fallen",6,10,10,0,NA,1,NA,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,6,0,0,NA,NA,0,0,NA,6,6,NA,2,6,6,3,NA,1,1,10,1,"16"
"286","059954","040","0","0","010",1,5,5,11,3,1,1,NA,NA,NA,NA,80,998,NA,NA,1,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,80,90,NA,70,50,0,998,NA,50,50,2,1,NA,NA,3,NA,1,1,10,1,"16"
"287","060114","010","0","0",NA,1,1,1,3,3,1,1,"more",998,"gained",998,998,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,"16"
"288","060501","030","0","0",NA,1,1,1,15,0,1,1,"more",10,"fallen",10,100,50,20,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,50,2,40,10,NA,10,10,25,10,NA,40,30,NA,2,20,20,3,NA,1,1,4,1,"16"
"289","060539","010","1","0",NA,1,1,1,10,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,75,0,50,NA,NA,90,0,NA,20,0,NA,2,NA,0,3,NA,1,1,8,1,"16"
"290","060539","011","2","0",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"16"
"291","060553","010","0","0","020",5,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,"16"
"292","060553","020","0","0","010",1,5,5,13,0,1,1,NA,NA,NA,NA,60,60,60,NA,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70,100,NA,100,60,0,30,NA,40,40,NA,2,40,40,2,NA,1,1,5,1,"16"
"293","060705","020","0","0","030",1,1,5,11,0,1,1,NA,NA,NA,NA,0,NA,NA,100,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,0,0,NA,NA,0,50,NA,10,10,NA,2,10,20,2,NA,3,1,5,1,"16"
"294","060705","030","0","0","020",5,5,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,5,NA,0,NA,40,20,NA,70,30,NA,2,10,0,3,NA,3,1,5,1,"16"
"295","060793","040","0","0",NA,1,1,1,12,0,1,1,"less",10,"gained",5,4,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4,NA,0,NA,5,10,NA,10,16,NA,2,3,4,3,NA,2,1,3,1,"16"
"296","061167","010","0","0",NA,1,1,1,14,0,1,1,"more",10,"gained",10,100,15,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,100,NA,50,10,50,50,NA,25,50,2,1,NA,NA,3,NA,1,1,2,1,"16"
"297","064372","010","0","0",NA,1,1,1,12,3,1,1,NA,NA,NA,NA,15,998,NA,NA,1,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,20,25,NA,20,10,10,998,NA,10,20,NA,2,10,15,3,NA,2,1,7,1,"16"
"298","064399","010","0","0","040",5,5,1,14,1,1,1,"more",50,"gained",50,20,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,20,50,NA,50,25,10,10,NA,998,998,NA,1,NA,NA,3,NA,3,1,10,1,"16"
"299","064399","040","0","0","010",1,1,5,13,1,1,1,NA,NA,NA,NA,10,10,10,NA,1,10,10,NA,10,NA,10,15,5,NA,20,NA,20,NA,NA,0,0,NA,NA,NA,NA,50,30,998,NA,1,NA,NA,3,NA,3,1,10,1,"16"
"300","064722","020","0","0","030",5,5,5,13,0,1,1,"more",NA,NA,NA,80,70,10,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,80,50,NA,10,5,5,50,NA,50,10,NA,2,10,80,2,NA,1,1,2,1,"16"
"301","064722","030","0","0","020",1,1,1,14,0,1,1,"more",2,"gained",0,90,90,2,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,90,NA,95,1,NA,1,1,1,2,NA,95,50,8,1,NA,NA,2,NA,2,1,2,1,"16"
"302","064889","010","0","0",NA,1,1,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,5,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,50,NA,75,0,80,50,NA,80,50,2,1,NA,NA,3,NA,2,1,9,1,"16"
"303","065358","010","0","0","040",5,5,1,11,1,1,1,"less",0,"gained",10,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,998,NA,NA,NA,10,0,NA,0,0,NA,2,NA,10,3,NA,2,1,8,1,"16"
"304","065358","040","0","0","010",1,1,5,10,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,NA,0,0,NA,2,NA,0,2,NA,1,1,8,1,"16"
"305","065861","010","0","0",NA,1,1,1,10,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,75,0,0,NA,NA,30,40,NA,80,50,2,1,NA,NA,3,NA,3,1,8,1,"16"
"306","065881","020","0","0","030",5,1,5,11,0,1,1,NA,NA,NA,NA,95,90,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,60,80,NA,80,40,15,NA,NA,50,50,2,1,NA,NA,3,NA,3,1,10,1,"16"
"307","065881","030","0","0","020",1,5,1,12,0,1,1,"less",20,"fallen",40,90,90,40,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,50,40,60,NA,NA,70,70,NA,2,50,40,2,NA,1,1,10,1,"16"
"308","071173","010","0","0",NA,1,1,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,50,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,80,NA,50,0,0,50,NA,100,0,NA,2,NA,50,3,NA,1,1,5,1,"16"
"309","071203","010","0","0",NA,1,1,1,13,1,1,1,NA,NA,NA,NA,50,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0,100,NA,100,75,0,25,NA,25,25,NA,2,998,NA,3,NA,1,1,10,1,"16"
"310","071305","010","0","0",NA,1,1,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,0,0,NA,NA,80,50,NA,50,60,NA,2,60,80,3,NA,3,1,4,1,"16"
"311","071502","010","0","0",NA,1,1,1,15,0,1,1,"more",20,"fallen",10,50,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,50,NA,30,10,0,50,NA,50,25,NA,2,10,20,3,NA,3,1,3,1,"16"
"312","073053","040","0","0",NA,1,1,1,14,3,1,1,"more",90,"gained",0,100,100,0,NA,1,50,0,NA,NA,NA,NA,15,9,NA,NA,NA,50,8,998,998,NA,NA,NA,998,0,NA,20,90,NA,2,0,0,2,NA,3,1,2,1,"16"
"313","073155","010","0","0",NA,1,1,1,13,1,1,1,"less",0,"gained",0,100,100,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,50,100,NA,100,0,50,50,NA,0,998,NA,1,NA,NA,2,NA,3,1,6,1,"16"
"314","073292","010","0","0","040",1,5,1,12,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,0,0,0,NA,0,10,NA,2,20,20,2,NA,1,1,3,1,"16"
"315","073292","040","0","0","010",5,1,5,11,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,100,NA,NA,NA,0,NA,NA,NA,NA,80,NA,70,50,NA,0,NA,0,50,NA,50,40,NA,2,50,40,3,NA,3,1,4,1,"16"
"316","073906","010","0","0",NA,1,1,1,11,3,1,1,"less",80,"fallen",80,40,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,998,NA,NA,NA,80,100,NA,100,998,NA,1,NA,NA,3,NA,3,2,7,1,"16"
"317","074368","010","0","0","011",1,1,1,14,0,1,1,"more",25,"gained",70,25,5,0,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,65,100,NA,100,60,10,50,NA,100,50,2,1,NA,NA,2,NA,3,1,8,1,"16"
"318","074368","011","0","0","010",5,5,5,12,0,1,1,NA,NA,NA,NA,90,80,10,NA,1,NA,NA,NA,NA,NA,10,10,5,NA,90,NA,80,NA,NA,100,NA,100,95,NA,NA,70,80,50,1,2,50,50,3,NA,3,1,8,1,"16"
"319","075475","020","0","0","030",5,1,5,13,0,1,1,NA,NA,NA,NA,80,80,25,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,25,50,NA,50,50,25,35,NA,35,30,NA,2,30,50,3,NA,2,2,3,1,"16"
"320","075475","030","0","0","020",1,5,1,15,0,1,1,"more",75,"fallen",10,100,100,60,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,100,NA,60,50,10,50,NA,50,60,NA,2,50,50,2,NA,3,1,3,1,"16"
"321","075779","010","1","1","011",1,1,1,13,0,1,1,"less",100,"fallen",70,100,0,NA,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,50,50,NA,0,NA,0,75,NA,100,100,NA,2,0,NA,3,NA,2,1,3,1,"16"
"322","075779","011","1","1","010",5,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"16"
"323","075779","041","2","2","040",1,5,1,14,0,1,1,"less",20,"gained",60,100,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,20,NA,10,NA,NA,80,NA,20,5,NA,50,NA,50,50,1,2,50,50,2,NA,3,1,5,1,"16"
"324","075925","010","0","0",NA,1,1,1,15,0,1,1,"more",20,"fallen",10,90,10,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,100,NA,10,10,80,10,NA,50,20,NA,2,10,10,2,NA,3,1,4,1,"16"
"325","076616","010","0","0","040",5,5,1,14,0,1,1,"less",0,"gained",20,100,100,20,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,5,10,50,0,NA,50,50,2,1,NA,NA,2,NA,3,1,4,1,"16"
"326","076616","040","0","0","010",1,1,5,13,0,1,1,NA,NA,NA,NA,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,100,NA,50,10,0,50,NA,50,50,1,2,10,50,2,NA,3,1,4,1,"16"
"327","076617","010","0","0","040",1,5,1,14,0,1,1,"less",10,"fallen",0,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,80,20,NA,0,NA,10,30,NA,40,40,NA,2,40,20,2,NA,3,1,7,1,"16"
"328","076791","020","0","0","030",1,1,5,11,3,1,1,NA,NA,NA,NA,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,75,50,NA,998,NA,25,NA,998,998,998,NA,1,NA,NA,3,NA,2,1,9,1,"16"
"329","077020","011","0","0",NA,1,1,1,15,0,1,1,"less",50,"gained",20,100,100,100,NA,1,NA,NA,NA,80,NA,70,50,30,NA,80,NA,50,NA,NA,10,NA,10,10,NA,NA,50,80,80,NA,2,30,10,3,NA,2,1,7,1,"16"
"330","077723","040","0","0",NA,1,1,1,14,0,1,1,"more",90,"gained",10,90,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,90,100,NA,100,10,0,50,NA,100,50,2,1,NA,NA,3,NA,3,1,2,1,"16"
"331","077921","010","0","0",NA,1,1,1,12,1,1,1,NA,NA,NA,NA,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,50,80,NA,0,NA,50,50,NA,50,20,NA,2,998,NA,3,NA,3,1,3,1,"16"
"332","078223","010","0","0","020",1,5,1,15,0,1,1,"less",20,"fallen",10,100,100,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,75,NA,25,5,10,20,NA,50,80,NA,2,10,20,1,NA,2,1,7,1,"16"
"333","078223","020","0","0","010",5,1,5,13,0,1,1,NA,NA,NA,NA,100,60,20,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,20,50,NA,10,0,10,10,NA,10,60,NA,2,40,5,2,NA,3,1,7,1,"16"
"334","078253","010","0","0","040",1,5,1,15,0,1,1,"more",10,"fallen",5,95,95,50,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,90,95,NA,50,20,20,40,NA,40,50,1,2,35,50,3,NA,3,1,8,1,"16"
"335","078253","040","0","0","010",5,1,5,12,0,1,1,NA,NA,NA,NA,70,60,60,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,70,40,NA,20,0,30,50,NA,60,20,NA,2,30,30,3,NA,3,1,8,1,"16"
"336","078495","010","0","0",NA,1,1,1,10,1,1,1,NA,NA,NA,NA,30,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,50,0,50,NA,NA,0,90,NA,100,998,NA,1,NA,NA,3,NA,2,1,5,1,"16"
"337","078607","010","0","0",NA,1,1,1,14,0,1,1,"more",40,"fallen",10,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,95,95,NA,30,0,0,80,NA,70,98,NA,2,5,95,2,NA,2,1,2,1,"16"
"338","078747","020","0","0",NA,1,1,1,12,0,1,1,"more",10,"gained",0,10,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,10,NA,0,NA,10,10,NA,50,0,NA,2,NA,0,3,NA,3,1,4,1,"16"
"339","078780","010","0","0",NA,1,1,1,13,0,1,1,"more",75,"fallen",75,75,75,80,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,50,0,0,NA,NA,0,75,NA,75,50,2,1,NA,NA,2,NA,1,1,3,1,"16"
"340","078933","020","0","0",NA,1,1,1,14,0,1,1,"less",0,"gained",25,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,10,NA,0,NA,10,0,NA,0,25,NA,2,20,10,8,NA,1,1,4,1,"16"
"341","079330","010","0","0",NA,1,1,1,12,1,1,1,"more",40,"fallen",0,10,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,0,0,NA,NA,0,10,NA,15,998,NA,1,NA,NA,3,NA,3,1,7,1,"16"
"342","079545","011","5","5",NA,1,1,1,11,0,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,5,NA,0,NA,0,0,NA,100,10,NA,2,50,80,1,NA,3,1,5,1,"16"
"343","079545","012","1","1",NA,1,1,1,10,1,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,50,NA,20,20,100,NA,NA,50,998,NA,1,NA,NA,3,NA,1,1,5,1,"16"
"344","079867","020","0","0",NA,1,1,1,15,0,1,1,"less",10,"fallen",0,100,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,100,NA,80,80,0,50,NA,90,70,NA,2,40,40,2,NA,3,1,4,1,"16"
"345","080070","020","0","0",NA,1,1,1,12,1,1,1,"more",90,"fallen",0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,90,0,0,NA,NA,0,5,NA,20,998,NA,1,NA,NA,3,NA,3,1,7,1,"16"
"346","080229","030","0","0",NA,1,1,1,13,0,1,1,NA,NA,NA,NA,50,25,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,25,NA,25,25,25,10,NA,25,75,NA,2,75,50,3,NA,3,1,8,1,"16"
"347","080353","010","0","0","040",5,5,1,12,2,1,1,"more",100,"gained",10,100,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,10,998,NA,NA,NA,0,0,NA,90,50,2,1,NA,NA,8,NA,2,1,4,1,"16"
"348","080353","040","0","0","010",1,1,5,11,0,1,1,NA,NA,NA,NA,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,100,NA,NA,0,0,NA,100,100,NA,2,0,NA,3,NA,2,1,4,1,"16"
"349","080583","010","0","0",NA,1,1,1,11,2,1,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,0,0,NA,NA,998,90,NA,80,80,NA,2,80,50,3,NA,1,1,10,1,"16"
