"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MP155","MP156","MP002","MP166","MP167","MP168","MP169","MP170","MP005","MP006","MP059","MP007","MP014","MP015","MP016","MP017","MP164","MP123","MP172","MP173","MP174","MP018","MP020","MP028","MP102","MP029","MP157","MP175","MP176","MP177","MP178","MP032","MP110","MP179","MP111","MP112","MP047","MP113","MP149","MP150","MP180","MP097","MP056","MVDATE","MVERSION","year"
"304","048531","020","0","0","030",5,5,1,14,0,1,80,NA,20,2,1,0,NA,NA,70,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,80,NA,50,25,0,100,NA,75,NA,80,NA,2,50,75,3,1,7,5.1,"10"
"305","048531","030","0","0","020",1,1,5,13,0,1,NA,NA,NA,NA,NA,20,1,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10,NA,10,4,3,50,2,10,NA,5,NA,2,5,15,3,1,7,5.1,"10"
"306","048535","010","0","0","020",5,5,1,15,0,1,10,NA,5,2,1,70,1,0,NA,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,2,NA,1,0,2,10,NA,15,NA,75,NA,2,60,20,2,1,7,5.1,"10"
"307","048535","020","0","0","010",1,1,5,13,0,1,NA,NA,NA,NA,NA,8,5,5,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,5,NA,5,3,0,4,NA,2,NA,4,NA,2,3,3,3,1,7,5.1,"10"
"308","048767","010","0","0","020",1,1,1,14,0,1,10,NA,10,2,2,100,0,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,10,NA,0,NA,0,30,NA,10,NA,40,NA,2,80,30,3,1,1,5.1,"10"
"309","048767","020","0","0","010",5,5,5,13,0,1,NA,NA,NA,NA,NA,60,50,10,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,NA,20,5,5,60,NA,30,NA,70,NA,2,60,20,2,1,1,5.1,"10"
"310","048882","021","0","0",NA,1,1,1,15,0,1,0,NA,0,2,1,100,100,10,NA,0,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,1,0,100,NA,NA,10,100,NA,10,NA,50,1,2,30,70,3,1,7,5.1,"10"
"311","048888","010","0","0",NA,1,1,1,14,0,1,80,NA,10,2,2,50,75,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,NA,25,25,0,0,NA,NA,NA,25,NA,2,25,20,2,1,7,5.1,"10"
"312","049287","040","0","0","010",1,1,1,13,2,1,0,NA,0,2,1,100,998,NA,NA,NA,NA,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,NA,998,NA,0,50,2,50,NA,75,NA,2,50,998,3,2,7,5.1,"10"
"313","049448","010","0","0",NA,1,1,1,14,0,1,75,NA,10,2,2,100,100,100,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,15,NA,10,10,20,75,NA,70,NA,50,2,1,NA,NA,2,1,7,5.1,"10"
"314","049504","010","0","0","020",5,5,1,15,0,1,80,NA,20,2,1,100,40,2,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,10,NA,10,0,10,80,NA,90,NA,60,NA,2,10,30,2,1,7,5.1,"10"
"315","049504","020","0","0","010",1,1,5,13,0,1,NA,NA,NA,NA,NA,100,70,50,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,50,NA,40,30,5,40,NA,30,NA,70,NA,2,70,40,2,1,7,5.1,"10"
"316","049742","010","0","0","020",1,5,1,13,0,1,NA,NA,NA,NA,NA,50,50,0,NA,NA,NA,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,100,NA,75,10,20,80,NA,10,NA,80,NA,2,5,5,2,1,7,5.1,"10"
"317","049742","020","0","0","010",5,1,5,13,0,1,NA,NA,NA,NA,NA,2,40,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,100,NA,60,30,0,40,NA,50,NA,60,NA,2,30,10,3,1,7,5.1,"10"
"318","050158","010","0","0","020",1,1,1,10,0,1,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,50,NA,0,NA,90,0,NA,NA,NA,5,NA,2,5,25,2,1,7,5.1,"10"
"319","050158","020","0","0","010",5,5,5,12,0,1,NA,NA,NA,NA,NA,0,NA,NA,60,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,25,NA,10,0,0,75,NA,50,NA,25,NA,2,5,25,3,1,7,5.1,"10"
"320","050195","030","1","1","031",1,1,1,15,0,1,50,1,20,2,1,90,50,0,NA,NA,NA,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,33,NA,20,10,10,90,NA,50,NA,50,1,2,20,20,2,1,6,5.1,"10"
"321","050195","031","1","1","030",5,5,5,12,0,1,NA,NA,NA,NA,NA,80,50,20,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,0,NA,NA,5,100,NA,50,NA,30,NA,2,20,30,3,1,6,5.1,"10"
"322","050364","010","0","0","040",1,5,1,15,0,1,20,NA,10,2,2,90,80,20,NA,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,20,NA,10,10,10,75,NA,20,NA,75,NA,2,50,20,2,2,7,5.1,"10"
"323","050364","040","0","0","010",5,1,5,13,0,1,NA,NA,NA,NA,NA,100,100,75,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,80,NA,50,NA,25,NA,5,1,NA,100,NA,10,NA,98,NA,2,50,5,1,1,7,5.1,"10"
"324","050377","010","0","0","040",5,5,1,15,0,1,10,NA,90,2,1,100,80,5,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,100,NA,50,20,20,80,NA,80,NA,40,NA,2,10,5,2,1,7,5.1,"10"
"325","050377","040","0","0","010",1,1,5,11,0,1,NA,NA,NA,NA,NA,20,0,NA,NA,30,0,NA,NA,1,NA,NA,NA,NA,50,NA,50,2,5,NA,100,NA,0,NA,NA,100,NA,NA,NA,0,NA,2,NA,50,1,1,7,5.1,"10"
"326","050384","040","0","0",NA,1,1,1,9,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,0,NA,NA,NA,70,NA,20,NA,50,2,1,NA,NA,2,1,7,5.1,"10"
"327","050403","020","0","0",NA,1,1,1,12,0,1,0,NA,0,2,1,50,0,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,10,NA,0,NA,0,100,NA,80,NA,50,2,1,NA,NA,2,1,6,5.1,"10"
"328","050530","020","0","0",NA,1,1,1,14,0,1,10,NA,5,2,1,5,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,NA,5,0,5,50,2,40,NA,10,NA,2,10,5,3,1,7,5.1,"10"
"329","050594","010","0","0","020",1,1,1,14,0,1,75,NA,0,2,1,90,20,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,70,NA,0,NA,40,80,NA,50,NA,60,NA,2,50,50,2,1,6,5.1,"10"
"330","050594","020","0","0","010",5,5,5,12,0,1,NA,NA,NA,NA,NA,50,0,NA,NA,50,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0,0,NA,NA,50,20,NA,20,NA,10,NA,2,0,20,2,1,6,5.1,"10"
"331","050596","020","0","0",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"332","050945","010","7","7","040",5,5,1,13,0,1,100,NA,100,2,2,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,100,NA,NA,0,100,NA,0,NA,100,NA,2,100,NA,2,1,7,5.1,"10"
