"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MP155","MP156","MP002","MP166","MP167","MP168","MP169","MP170","MP005","MP006","MP059","MP007","MP014","MP015","MP016","MP017","MP164","MP123","MP172","MP173","MP174","MP018","MP020","MP028","MP102","MP029","MP157","MP175","MP176","MP177","MP178","MP032","MP110","MP179","MP111","MP112","MP047","MP113","MP149","MP150","MP180","MP097","MP056","MVDATE","MVERSION","year"
"333","050945","040","7","7","010",1,1,5,12,0,1,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,80,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,100,NA,70,50,0,50,2,80,NA,90,NA,2,50,50,3,1,7,5.1,"10"
"334","051356","020","0","0","030",5,1,5,11,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,NA,50,25,50,50,2,50,NA,50,2,1,NA,NA,3,1,7,5.1,"10"
"335","051356","030","0","0","020",1,5,1,13,0,1,10,NA,30,2,1,30,10,50,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,30,NA,NA,10,50,2,100,NA,50,2,1,NA,NA,3,1,7,5.1,"10"
"336","051577","010","0","0","020",5,5,1,13,0,1,80,NA,20,2,2,50,50,40,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,10,NA,10,5,0,0,NA,NA,NA,0,NA,2,NA,50,3,1,7,5.1,"10"
"337","051577","020","0","0","010",1,1,5,11,0,1,NA,NA,NA,NA,NA,0,NA,NA,80,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,100,2,0,0,NA,NA,NA,80,NA,2,70,70,2,1,7,5.1,"10"
"338","051735","010","0","0",NA,1,1,1,8,6,1,998,NA,NA,1,NA,998,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,NA,NA,NA,998,0,NA,NA,NA,998,NA,1,NA,NA,2,1,7,5.1,"10"
"339","051890","010","0","0","011",1,1,1,10,3,1,50,2,NA,1,NA,998,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,NA,NA,NA,0,998,NA,75,NA,30,NA,2,50,75,3,1,4,5.1,"10"
"340","051890","011","0","0","010",5,5,5,10,0,1,NA,NA,NA,NA,NA,90,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,80,NA,80,50,0,100,NA,90,NA,50,2,1,NA,NA,3,1,4,5.1,"10"
"341","052281","010","0","0",NA,1,1,1,15,0,1,10,NA,10,2,1,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,75,NA,50,30,20,80,NA,70,NA,40,NA,2,40,50,2,1,7,5.1,"10"
"342","052645","010","0","0","040",1,5,5,9,2,1,NA,NA,NA,NA,NA,80,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,50,NA,998,NA,100,0,NA,NA,NA,998,NA,1,NA,NA,3,3,7,5.1,"10"
"343","052645","040","0","0","010",5,1,1,14,1,1,20,NA,10,2,2,50,0,NA,NA,50,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,50,NA,50,50,50,90,NA,70,NA,998,NA,1,NA,NA,3,1,7,5.1,"10"
"344","053071","010","0","0","020",5,5,1,14,0,1,10,NA,10,2,2,100,100,80,NA,NA,NA,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,50,NA,10,2,50,40,NA,10,NA,50,2,1,NA,NA,2,1,7,5.1,"10"
"345","053071","020","0","0","010",1,1,5,12,0,1,NA,NA,NA,NA,NA,100,80,10,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,80,NA,40,10,80,80,NA,80,NA,50,2,1,NA,NA,2,1,7,5.1,"10"
"346","053088","010","0","0","040",5,1,1,14,2,1,70,NA,20,2,2,15,20,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,10,NA,10,10,0,998,NA,20,NA,998,NA,1,NA,NA,2,1,2,5.1,"10"
"347","053088","040","0","0","010",1,5,5,12,0,1,NA,NA,NA,NA,NA,100,100,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,50,NA,NA,0,50,2,100,NA,50,1,2,50,20,2,1,2,5.1,"10"
"348","053495","010","0","0",NA,1,1,1,11,0,1,0,NA,0,2,1,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,2,NA,0,3,1,5,5.1,"10"
"349","053725","030","0","0","031",1,1,1,16,2,1,40,NA,10,2,2,25,0,NA,NA,NA,NA,10,5,1,NA,NA,NA,NA,0,NA,999,NA,999,NA,100,NA,100,80,NA,75,NA,80,NA,25,NA,2,25,20,3,3,1,5.1,"10"
"350","053725","031","0","0","030",5,5,5,15,0,1,NA,NA,NA,NA,NA,80,80,10,NA,NA,NA,50,50,1,1,NA,NA,NA,20,NA,80,NA,50,NA,10,NA,5,1,NA,80,NA,NA,80,20,NA,2,10,80,2,1,1,5.1,"10"
"351","053879","010","0","0","020",5,1,1,13,0,1,50,1,0,2,2,100,100,100,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,10,NA,0,NA,0,95,NA,95,NA,60,NA,2,25,10,3,1,6,5.1,"10"
