"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NY005","NY006","NY007","NY008","NY009","NY010","NY011","NY012","NY013","NY014","NY015","NY016","NY017","NY018","NY019","NY020","NY021","NY022","NY023","NY024","NY025","NY026","NY027","NY028","NY029","NY030","NY031","NY032","NY033","NY034","NY035","NY036","NY037","NY038","NY039","NY040","NY041","NY042","NY043","NY044","NY045","NY046","NY047","NY048","NY049","NY050","NY051","NY052","NY053","NY054","NY055","NY056","NY057","NY058","NY059","NY060","NY061","NY062","NY063","NY064","NY065","NY066","NY067","NY068","NY069","NY070","NY071","NY072","NY073","NY074","NY075","NY076","NY077","NY078","NY079","NY080","NY081","NY082","NY083","NY084","NY085","NY086","NY087","NY088","NY089","NY090","NY091","NY092","NY093","NY094","NY095","NY096","NY097","NY098","NY099","NY100","NY101","NY102","NY103","NY104","NY105","NY106","NY107","NY108","NY109","NY110","NY111","NY112","NY113","NY114","NY115","NVDATE","NVERSION","year"
"1030","522606","010","0","0",NA,1,1,1,179.195,86.393,549.805,709.461,NA,48.074,22.126,23.817,48.603,22.529,53.735,166.599,18.546,NA,NA,NA,NA,NA,NA,NA,2.406,NA,20.845,40.468,70.015,128.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.838,22.34,40.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.44,44.336,67.951,369.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.85,24.339,210.775,222.508,2730.655,427.859,895.403,355.136,NA,NA,31.832,NA,478.042,407.059,654.417,68.217,NA,150.694,NA,161.472,175.7,8802.419,1,2,"12"
"1031","522711","010","0","0","020",5,5,5,80.967,91.485,651.35,800.741,NA,56.518,23.055,47.199,98.862,21.012,37.717,230.06,52.347,NA,NA,NA,NA,NA,NA,NA,2.112,NA,17.816,62.247,89.885,138.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.41,45.077,62.462,NA,NA,NA,23.246,29.59,26.594,NA,NA,NA,NA,NA,NA,340.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.573,207.461,NA,1.377,NA,856.141,531.704,NA,NA,37.86,NA,713.979,351.121,NA,NA,NA,118.985,NA,284.137,91.945,4877.057,3,2,"12"
"1032","522711","020","0","0","010",1,1,1,237.916,79.107,565.891,848.285,NA,52.026,22.426,21.305,56.93,24.227,38.657,162.272,19.308,NA,NA,NA,NA,NA,NA,NA,2.325,NA,21.107,64.444,93.866,106.861,12.823,20.561,24.226,NA,NA,NA,11.154,31.076,62.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.46,58.453,13.884,9.781,10.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.359,39.094,9.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.616,273.421,457.05,253.313,302.547,1.856,NA,879.936,1902.969,NA,NA,40.872,NA,751.765,579.136,862.166,26.24,NA,116.064,NA,224.376,66.83,8473.983,2,2,"12"
"1033","522787","010","0","0","020",1,5,1,171.569,60.637,524.629,489.911,NA,40.903,22.16,16.114,52.9,18.72,27.659,137.889,18.486,NA,NA,NA,NA,NA,NA,NA,1.529,NA,18.252,41.979,67.283,117.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.216,14.009,18.58,NA,NA,NA,11.372,12.808,11.669,NA,NA,NA,NA,NA,NA,196.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.223,278.57,297.898,2.371,NA,754.854,289.584,NA,NA,36.691,NA,486.799,452.338,827.051,105.69,NA,138.856,NA,146.344,82.15,5189.075,1,2,"12"
"1034","522787","020","0","0","010",5,1,5,140.893,66.813,427.092,516.845,NA,41.787,22.17,16.575,43.284,20.15,15.928,117.515,18.212,NA,NA,NA,NA,NA,NA,NA,1.652,NA,19.941,60.117,87.435,101.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.92,18.103,27.173,NA,NA,NA,NA,NA,NA,26.116,14.862,22.304,NA,NA,NA,223.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.042,30.354,186.793,NA,1.387,NA,694.329,162.802,NA,NA,31.358,NA,643.807,319.92,NA,NA,NA,76.574,NA,299.88,50.05,4019.226,2,2,"12"
"1035","522924","010","0","0",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"12"
"1036","523021","010","0","0","020",1,1,5,285.065,42.557,887.212,902.527,NA,69.365,21.573,24.002,67.007,17.108,18.967,143.674,21.698,NA,NA,NA,NA,NA,NA,NA,3.36,NA,16.659,86.113,129.274,142.897,19.354,22.047,17.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.524,73.573,132.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.886,496.827,354.088,NA,1.113,NA,967.585,732.997,NA,NA,374.26,NA,883.162,451.02,NA,NA,NA,127.824,NA,207.466,75.027,7264.932,3,2,"12"
"1037","523021","020","0","0","010",5,5,1,82.559,43.357,779.685,712.084,NA,51.309,21.361,18.502,67.563,20.032,15.653,150.145,29.333,NA,NA,NA,NA,NA,NA,NA,1.077,NA,17.564,51.545,86.184,105.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.481,16.665,30.958,NA,NA,NA,NA,NA,NA,33.079,24.318,32.359,NA,NA,NA,263.707,51.06,8.961,18.241,22.73,5.276,5.657,4.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.639,NA,288.854,309.823,299.301,2.4,NA,751.245,650.955,NA,NA,73.533,NA,904.213,468.486,776.305,25.325,NA,64.137,174.719,332.963,80.284,6824.075,3,2,"12"
"1038","523089","010","0","0","020",1,5,1,217.791,104.489,499.841,886.432,NA,63.71,21.77,35.537,118.544,20.421,27.862,239.117,51.511,NA,NA,NA,NA,NA,NA,NA,1.903,NA,19.562,60.247,82.852,123.926,12.48,15.522,22.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.892,64.678,99.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.192,229.523,177.747,1.139,NA,551.882,693.671,NA,NA,47.814,NA,785.898,460.965,815.632,136.719,NA,69.264,203.284,143.333,65.816,6541.364,4,2,"12"
"1039","523089","020","0","0","010",5,1,5,171.351,57.689,424.96,923.825,NA,57.003,20.77,20.624,67.594,20.436,36.692,176.639,30.436,NA,NA,NA,NA,NA,NA,NA,1.981,NA,19.734,60.809,78.327,134.363,22.948,36.301,40.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.118,76.877,190.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.196,189.041,197.839,NA,1.701,NA,492.477,1520.987,NA,NA,59.28,NA,409.579,434.586,NA,NA,NA,62.649,NA,279.958,56.784,5514.632,4,2,"12"
"1040","523113","010","0","0","020",5,1,5,144.294,58.57,608.789,710.294,NA,44.596,22.115,51.211,56.539,16.823,30.552,165.91,46.088,NA,NA,NA,NA,NA,NA,NA,2.273,NA,13.388,65.005,93.007,106.691,13.505,18.462,26.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.654,75.032,55.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.304,184.021,206.16,NA,1.123,NA,649.917,1398.171,NA,NA,36.439,NA,519.308,460.394,NA,NA,NA,89.004,NA,177.065,52.528,5703.806,4,2,"12"
"1041","523113","020","0","0","010",1,5,1,292.33,101.134,508.78,907.191,NA,49.156,22.596,34.461,63.609,19.875,20.295,150.121,26.514,NA,NA,NA,NA,NA,NA,NA,1.981,NA,18.174,49.015,67.346,104.506,14.133,18.876,36.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.206,38.142,45.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.262,50.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.952,16.973,74.225,NA,NA,NA,8.595,14.571,17.316,NA,NA,NA,NA,NA,NA,200.632,NA,32.339,231.193,377.973,1.201,NA,1338.625,1524.266,NA,NA,171.43,NA,532.46,552.443,1480.334,196.825,NA,178.746,302.833,241.145,74.74,9049.732,4,2,"12"
"1042","523129","010","0","0",NA,1,1,1,358.629,82.368,607.965,832.706,NA,48.828,22.503,38.641,46.519,25.273,39.561,193.191,54.475,NA,NA,NA,NA,NA,NA,NA,2.169,NA,25.381,65.957,90.949,120.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.456,24.476,67.829,NA,NA,NA,23.588,21.528,27.034,NA,NA,NA,NA,NA,NA,302.203,49.858,8.377,8.549,6.287,NA,NA,NA,NA,NA,NA,22.058,16.646,12.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.365,180.211,497.158,400.686,331.579,2962.517,256.215,124.94,348.115,NA,NA,160.477,NA,591.772,321.423,678.695,20.592,NA,17.721,38.111,172.695,104.24,9103.603,1,2,"12"
"1043","523278","010","0","0",NA,1,1,1,280.648,108.874,621.007,745.128,NA,67.846,22.037,23.184,75.578,20.329,22.169,164.389,27.819,NA,NA,NA,NA,NA,NA,NA,1.583,NA,17.022,61.402,81.939,103.663,14.795,18.738,21.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.933,67.733,124.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.453,427.174,294.829,120.956,2458.301,290.736,1038.943,2439.55,NA,NA,107.245,NA,770.586,687.459,827.847,98.916,NA,121.321,NA,272.115,260.743,12550.054,4,2,"12"
