"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OW303","OW311","OW314","OW306","OW310","OW309","OW312","OW319","OW320","OW321","OW307","OVDATE","OVERSION","year"
"640","210386","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,"14"
"641","210429","010","7","7","011",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"14"
"642","210429","011","7","7","010",1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,"14"
"643","210606","011","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"644","210812","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,"14"
"645","210921","010","0","0","020",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"646","210921","020","0","0","010",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"647","210980","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"648","211190","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"649","211198","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"650","211244","010","0","0","020",5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"651","211244","020","0","0","010",1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"652","211276","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"653","211406","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"654","211493","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"655","211523","010","0","0","020",1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"656","211523","020","0","0","010",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"657","211657","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"658","211692","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"659","211713","011","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"660","211778","010","0","0","020",5,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,"14"
"661","211778","020","0","0","010",1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"662","212169","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"663","212384","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"664","212393","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"665","212504","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"666","212699","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"667","212718","010","0","0","020",1,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"668","212718","020","0","0","010",5,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"669","212773","010","0","0","020",1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"670","212773","020","0","0","010",5,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"671","212800","020","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"672","212882","010","0","0","020",1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,"14"
"673","212882","020","0","0","010",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"674","212895","010","0","0","020",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,"14"
"675","212895","020","0","0","010",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"676","213114","010","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"677","213189","010","0","0","020",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"678","213189","020","0","0","010",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"679","213233","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"680","213247","010","0","0","020",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"14"
"681","213247","020","0","0","010",1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"682","213378","010","0","0","020",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
