"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MY005","MY006","MY007","MY008","MY009","MY010","MY011","MY012","MY013","MY014","MY015","MY016","MY017","MY018","MY019","MY020","MY021","MY022","MY023","MY024","MY025","MY026","MY027","MY028","MY029","MY030","MY031","MY032","MY033","MY034","MY035","MY036","MY037","MY038","MY039","MY040","MY041","MY042","MY043","MY044","MY045","MY046","MY047","MY048","MY049","MY050","MY051","MY052","MY053","MY054","MY055","MY056","MY057","MY058","MY059","MY060","MY061","MY062","MY063","MY064","MY065","MY066","MY067","MY068","MY069","MY070","MY071","MY072","MY073","MY074","MY075","MY076","MY077","MY078","MY079","MY080","MY081","MVDATE","MVERSION","year"
"869","500067","010","0","0","020",1,1,5,325.843,43.048,542.437,607.435,NA,47.404,21.763,21.748,57.7,15.194,32.986,145.978,21.379,NA,NA,NA,NA,NA,NA,NA,1.206,56.922,17.071,55.45,100.665,63.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.852,38.056,80.375,NA,NA,NA,6.203,1.029,0.904,NA,NA,NA,NA,NA,NA,211.749,485.2,46.979,351.131,NA,1750.486,465.762,NA,NA,106.725,NA,646.242,335.306,NA,NA,NA,60.534,NA,342.023,44.313,6375.874,7,5.1,"10"
"870","500067","020","0","0","010",5,5,1,42.639,47.768,610.634,620.902,NA,44.717,22.213,14.306,51.844,17.63,22.173,133.98,21.317,NA,NA,NA,NA,NA,NA,NA,2.826,46.893,18.973,52.264,68.341,40.518,18.843,31.131,58.653,NA,NA,NA,NA,NA,NA,67.866,25.229,45.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.626,NA,356.225,295.039,260.274,328.13,610.879,NA,NA,519.458,NA,613.258,366.975,696.957,36.143,NA,64.078,NA,156.132,394.812,6285.664,7,5.1,"10"
"871","500121","010","1","1",NA,1,1,1,589.241,144.501,400.901,550.71,NA,51.343,21.574,21.244,60.64,24.653,36.494,168.122,22.332,NA,NA,NA,NA,NA,NA,NA,1.903,60.058,20.653,50.818,70.57,53.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.409,20.624,24.543,10.578,10.426,15.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.896,317.651,26.125,187.51,143.893,2.26,608.269,NA,NA,43.74,NA,327.311,324.625,308.466,33.607,NA,23.403,NA,247.242,60.679,4347.714,7,5.1,"10"
"872","500121","020","2","2",NA,1,1,1,239.329,98.331,331.383,621.397,NA,49.968,23.094,18.647,63.456,22.506,26.091,151.292,20.185,NA,NA,NA,NA,NA,NA,NA,2.614,94.737,16.871,51.86,68.369,67.106,41.221,48.667,24.64,10.284,9.983,10.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.676,304.511,414.345,256.664,158.691,4.338,776.898,NA,NA,35.19,NA,285.195,361.659,427.175,51.902,NA,66.856,NA,137.953,76.4,4654.009,7,5.1,"10"
"873","500126","010","0","0","020",5,1,5,127.784,41.559,301.044,667.994,NA,48.514,22.382,18.299,49.343,22.407,36.167,147.499,21.537,NA,NA,NA,NA,NA,NA,NA,3.337,79.827,15.203,59.998,84.176,45.718,19.992,23.813,19.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.891,40.25,38.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.96,225.04,309.632,223.423,NA,2061.815,1452.247,NA,NA,30.386,NA,444.886,292.217,NA,NA,NA,97.5,NA,288.001,245.49,7204.064,7,5.1,"10"
"874","500126","020","0","0","010",1,5,1,269.245,57.582,408.302,615.923,NA,52.621,22.047,21.33,51.407,23.971,27.586,161.866,25.877,NA,NA,NA,NA,NA,NA,NA,2.425,55.385,30.311,61.286,84.645,107.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.383,16.641,27.94,12.735,12.221,12.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.604,NA,35.968,245.747,198.864,2784.17,1379.965,NA,NA,33.29,NA,578.984,361.287,617.366,25.652,NA,112.961,NA,215.548,225.022,8647.798,7,5.1,"10"
"875","500216","010","0","0",NA,1,1,1,294.486,138.75,631.361,692.162,NA,48.837,23.001,16.542,81.02,21.436,39.87,190.786,28.01,NA,NA,NA,NA,NA,NA,NA,4.775,65.052,17.427,50.874,68.033,66.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.336,16.518,15.6,135.404,8.905,9.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.136,100.679,27.189,220.675,190.208,2.556,444.955,NA,NA,153.69,NA,759.489,459.39,656.683,97.638,NA,122.98,NA,144.23,60.17,5203.816,7,5.1,"10"
"876","500237","010","0","0","020",1,5,1,261.285,33.344,556.904,815.003,NA,68.344,21.977,60.411,47.546,19.228,25.693,149.299,36.759,NA,NA,NA,NA,NA,NA,NA,3.939,71.421,17.767,63.918,84.896,62.139,25.071,38.983,72.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.799,27.405,93.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.716,NA,389.306,237.776,212.457,2.872,1196.181,NA,NA,48.414,NA,534.583,521.817,929.086,162.369,NA,55.159,NA,204.356,77.172,6247.795,6,5.1,"10"
"877","500237","020","0","0","010",5,1,5,315.713,39.964,859.419,794.267,NA,78.688,21.653,25.43,97.902,19.592,37.736,206.085,29.95,NA,NA,NA,NA,NA,NA,NA,2.574,44.66,18.969,65.221,83.687,64.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.873,56.184,95.132,NA,NA,NA,23.273,20.017,31.699,NA,NA,NA,NA,NA,NA,331.49,230.495,597.582,599.96,NA,1.944,1406.202,NA,NA,98.538,NA,669.889,449.292,NA,NA,NA,52.25,NA,356.066,66.61,6547.692,6,5.1,"10"
"878","500267","010","0","0",NA,1,1,1,395.343,145.679,833.131,953.668,NA,60.476,21.492,41.544,171.507,19.666,63.029,319.258,38.831,NA,NA,NA,NA,NA,NA,NA,9.351,81.409,23.168,64.493,84.691,67.656,45.167,48.215,43.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.333,25.433,67.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.447,516.005,351.495,507.401,310.712,2.032,1966.237,NA,NA,56.723,NA,1076.642,513.259,1127.908,66.562,NA,164.484,NA,439.026,116.742,9557.141,7,5.1,"10"
