"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"416","080667","010","0","0","020",5,5,1,16,0,1,25,1,10,100,100,40,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,50,80,NA,50,10,10,75,NA,10,NA,10,20,NA,2,20,50,2,NA,2,NA,5,3,1,3,2,"12"
"417","080667","020","0","0","010",1,1,5,15,0,1,NA,NA,NA,100,100,50,NA,1,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,30,100,NA,100,10,0,80,NA,30,NA,80,50,1,2,50,50,2,NA,1,1,NA,1,1,3,2,"12"
"418","080860","020","0","0",NA,1,1,1,15,0,1,10,1,5,100,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,20,1,NA,1,0,10,20,NA,5,NA,20,20,NA,2,20,20,3,NA,2,NA,1,3,1,1,2,"12"
"419","081051","010","0","0",NA,1,1,1,15,0,1,20,1,10,50,0,NA,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,50,NA,10,10,20,60,NA,30,NA,40,20,NA,2,10,999,3,NA,1,1,NA,3,1,4,2,"12"
"420","081059","010","0","0","020",5,5,1,16,0,1,100,2,20,100,90,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,100,NA,100,40,50,50,1,50,NA,50,100,NA,2,25,NA,2,NA,3,NA,NA,3,1,4,2,"12"
"421","081059","020","0","0","010",1,1,5,13,0,1,NA,NA,NA,80,50,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,20,50,NA,20,5,10,40,NA,NA,NA,60,50,1,2,50,50,2,NA,2,NA,1,2,1,4,2,"12"
"422","081089","010","0","0","040",1,1,1,16,0,1,10,2,0,99,50,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,80,NA,60,50,50,80,NA,90,NA,80,30,NA,2,10,60,3,NA,3,NA,NA,3,1,3,2,"12"
"423","081089","040","0","0","010",5,5,5,13,0,1,NA,NA,NA,90,90,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,80,NA,80,50,10,80,NA,80,NA,80,50,2,1,NA,NA,2,NA,2,NA,1,3,1,3,2,"12"
"424","081297","010","0","0","020",5,1,1,15,0,1,0,1,50,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25,50,NA,50,0,0,50,2,75,NA,75,0,NA,2,NA,35,3,NA,1,1,NA,1,1,3,2,"12"
"425","081297","020","0","0","010",1,5,5,11,2,1,NA,NA,NA,999,NA,NA,NA,1,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,50,100,NA,100,0,0,80,NA,50,NA,70,50,2,1,NA,NA,2,NA,1,5,NA,1,1,3,2,"12"
"426","081518","010","0","0",NA,1,1,1,3,3,1,998,1,998,998,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"12"
"427","081851","031","1","1","831",1,1,1,14,2,1,40,2,20,100,100,10,NA,1,NA,NA,100,NA,NA,NA,0,NA,NA,NA,NA,90,NA,998,2,NA,0,NA,0,10,NA,4,NA,20,998,NA,1,NA,NA,2,NA,2,NA,5,3,1,3,2,"12"
"428","081869","020","0","0",NA,1,1,1,16,0,1,50,1,50,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,65,100,NA,25,0,0,75,NA,75,NA,75,50,1,2,50,50,2,NA,2,NA,5,2,1,2,2,"12"
"429","081933","010","0","0","020",1,5,1,16,0,1,10,2,60,100,100,100,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,20,80,NA,50,30,50,100,NA,50,NA,50,40,NA,2,15,0,2,NA,3,NA,NA,3,1,2,2,"12"
"430","081933","020","0","0","010",5,1,5,12,1,1,NA,NA,NA,80,50,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,8,50,80,NA,50,50,10,80,NA,10,NA,80,998,NA,1,NA,NA,2,NA,3,NA,NA,2,1,2,2,"12"
"431","082397","020","0","0","030",5,5,5,13,0,1,NA,NA,NA,70,70,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,50,NA,50,50,50,60,NA,20,NA,70,80,NA,2,50,50,2,NA,3,NA,NA,3,1,3,2,"12"
"432","082397","030","0","0","020",1,1,1,16,0,1,10,1,10,80,80,10,NA,1,NA,NA,10,NA,NA,NA,10,10,NA,NA,NA,60,NA,40,10,NA,10,10,80,80,NA,50,NA,50,80,NA,2,50,50,3,NA,1,1,NA,3,1,3,2,"12"
"433","082562","010","0","0","011",5,1,1,14,0,1,50,2,50,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,10,0,0,NA,NA,0,50,2,40,NA,40,30,NA,2,10,40,2,NA,2,NA,5,3,1,3,2,"12"
"434","082562","011","0","0","010",1,5,5,11,0,1,NA,NA,NA,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,50,2,50,NA,NA,0,0,NA,NA,NA,50,2,0,NA,80,80,NA,2,80,0,3,2,1,5,NA,2,1,3,2,"12"
"435","082825","020","0","0",NA,1,1,1,14,0,1,NA,NA,NA,90,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,65,50,NA,30,25,5,66,NA,25,NA,66,75,NA,2,50,25,2,NA,3,NA,NA,3,1,3,2,"12"
"436","082857","010","0","0",NA,1,1,1,14,0,1,50,2,40,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,75,50,NA,10,0,0,80,NA,80,NA,100,50,2,1,NA,NA,2,NA,1,1,NA,1,1,3,2,"12"
"437","082909","010","0","0","040",5,5,1,14,0,1,NA,NA,NA,75,50,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,60,25,NA,10,10,10,50,2,50,NA,50,75,NA,2,30,10,2,NA,2,NA,1,2,1,1,2,"12"
"438","082909","040","0","0","010",1,1,5,12,0,1,NA,NA,NA,80,0,NA,NA,1,NA,NA,NA,90,NA,80,20,10,NA,50,1,30,NA,NA,20,NA,0,NA,NA,99,NA,NA,90,90,30,NA,2,30,40,2,2,1,5,NA,3,1,1,2,"12"
"439","082965","010","0","0","020",1,1,1,16,0,1,80,1,0,100,20,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,20,25,NA,10,10,10,75,NA,10,NA,50,10,NA,2,10,20,3,NA,1,1,NA,3,1,3,2,"12"
"440","082965","020","0","0","010",5,5,5,13,0,1,NA,NA,NA,75,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,3,0,0,NA,NA,0,80,NA,50,NA,80,75,NA,2,90,50,3,NA,3,NA,NA,3,1,3,2,"12"
"441","083181","010","0","0","020",1,1,1,15,0,1,60,1,90,95,95,90,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,95,NA,95,50,10,75,NA,50,NA,10,50,2,1,NA,NA,2,NA,2,NA,1,2,1,3,2,"12"
"442","083181","020","0","0","010",5,5,5,13,0,1,NA,NA,NA,99,99,99,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,75,20,NA,5,2,10,90,NA,10,NA,90,50,1,2,10,10,1,NA,2,NA,5,3,1,3,2,"12"
"443","083494","010","0","0","020",1,5,1,13,2,1,40,1,10,90,999,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,50,2,10,999,NA,NA,NA,10,90,NA,90,NA,90,50,1,2,10,20,2,NA,1,1,NA,3,1,4,2,"12"
"444","083494","020","0","0","010",5,1,5,10,3,1,NA,NA,NA,90,999,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,50,2,70,999,NA,NA,NA,10,70,NA,70,NA,70,998,NA,1,NA,NA,3,NA,1,5,NA,3,1,4,2,"12"
"445","084101","010","0","0","020",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"12"
"446","084101","020","0","0","010",1,1,1,16,0,1,25,2,25,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,25,30,NA,30,30,30,60,NA,60,NA,60,40,NA,2,20,30,1,NA,2,NA,1,2,1,3,2,"12"
"447","084137","010","0","0","020",1,5,5,15,0,1,NA,NA,NA,50,20,0,NA,1,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,25,NA,20,50,60,60,NA,60,NA,60,20,NA,2,20,0,2,NA,2,NA,5,2,1,2,2,"12"
"448","084137","020","0","0","010",5,1,1,16,0,1,40,1,10,90,10,0,NA,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,80,NA,10,0,0,50,2,50,NA,30,50,2,1,NA,NA,2,NA,1,1,NA,3,1,2,2,"12"
"449","084311","020","1","1","021",1,1,1,16,0,1,30,1,50,99,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,85,10,NA,10,0,10,50,2,50,NA,40,75,NA,2,50,30,1,NA,1,1,NA,3,1,4,2,"12"
"450","084311","021","1","1","020",5,5,5,14,0,1,NA,NA,NA,90,0,NA,NA,1,40,80,NA,NA,NA,60,0,NA,NA,25,NA,0,NA,NA,35,NA,10,5,NA,100,NA,NA,50,80,75,NA,2,40,50,2,4,NA,NA,NA,3,1,4,2,"12"
"451","084317","020","0","0","030",1,5,5,14,0,1,NA,NA,NA,100,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,50,NA,10,10,50,50,2,10,NA,50,70,NA,2,50,50,1,NA,3,NA,NA,1,1,4,2,"12"
"452","084317","030","0","0","020",5,1,1,18,0,1,60,2,50,70,50,0,NA,1,10,70,NA,70,NA,40,30,10,NA,50,2,30,NA,NA,80,NA,50,20,NA,50,1,NA,50,50,50,1,2,50,50,3,3,1,5,NA,3,1,4,2,"12"
"453","084567","010","0","0",NA,1,1,1,14,2,1,NA,NA,NA,80,60,4,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,60,5,NA,9,3,90,998,NA,80,NA,60,70,NA,2,75,998,3,NA,1,1,NA,1,1,4,2,"12"
"454","084614","010","0","0",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"12"
"455","085096","020","0","0",NA,1,1,1,15,0,1,0,1,0,40,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,10,50,NA,50,50,50,80,NA,80,NA,50,50,2,1,NA,NA,3,NA,1,5,NA,2,1,1,2,"12"
"456","085920","010","0","0","040",1,1,1,15,1,1,50,1,30,100,20,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,20,50,NA,0,NA,20,50,1,998,NA,50,10,NA,2,20,998,3,NA,1,1,NA,1,1,3,2,"12"
"457","085920","040","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"12"
"458","085991","010","0","0","040",1,1,1,14,0,1,10,2,0,100,100,100,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,75,0,0,NA,NA,0,50,1,0,NA,50,50,2,1,NA,NA,2,NA,2,NA,5,3,1,4,2,"12"
"459","085991","040","0","0","010",5,5,5,14,0,1,NA,NA,NA,100,100,70,NA,1,NA,NA,NA,100,NA,10,0,NA,NA,95,NA,80,NA,NA,80,NA,50,10,NA,60,NA,NA,70,70,80,NA,2,20,10,2,2,3,NA,NA,3,4,4,2,"12"
"460","086056","020","0","0",NA,1,1,1,13,0,1,80,1,0,100,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,10,NA,NA,0,0,NA,NA,NA,0,70,NA,2,20,20,3,NA,1,1,NA,1,1,4,2,"12"
"461","086102","010","0","0","040",1,5,1,15,0,1,80,1,2,98,50,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,2,NA,1,0,5,65,NA,5,NA,65,51,NA,2,10,49,2,NA,3,NA,NA,3,1,4,2,"12"
"462","086102","040","0","0","010",5,1,5,13,0,1,NA,NA,NA,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,80,80,NA,30,0,0,90,NA,50,NA,90,50,2,1,NA,NA,3,NA,2,NA,5,2,1,4,2,"12"
"463","086117","010","0","0",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"464","086307","010","0","0","020",1,5,1,16,0,1,10,2,0,100,0,NA,NA,1,10,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,100,NA,50,10,10,100,NA,80,NA,100,80,NA,2,20,0,2,NA,1,5,NA,1,1,3,2,"12"
"465","086307","020","0","0","010",5,1,5,13,0,1,NA,NA,NA,5,0,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,10,NA,5,0,0,50,2,25,NA,25,15,NA,2,15,998,3,NA,1,5,NA,2,1,3,2,"12"
"466","086354","010","0","0","011",1,1,1,15,0,1,10,1,50,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,75,100,NA,100,75,50,75,NA,50,NA,20,10,NA,2,10,30,3,NA,3,NA,NA,3,1,4,2,"12"
"467","086354","011","0","0","010",5,5,5,12,0,1,NA,NA,NA,0,NA,NA,10,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,100,0,100,NA,100,NA,100,0,NA,2,NA,100,2,NA,1,1,NA,1,1,4,2,"12"
"468","086473","010","0","0",NA,1,1,1,15,0,1,50,2,30,75,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,50,30,NA,30,5,5,80,NA,50,NA,75,50,2,1,NA,NA,3,NA,2,NA,5,2,1,4,2,"12"
"469","086506","020","0","0","030",1,5,5,11,0,1,NA,NA,NA,50,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,20,0,0,NA,NA,0,50,2,0,NA,0,0,NA,2,NA,0,3,NA,1,1,NA,3,1,4,2,"12"
"470","086506","030","0","0","020",5,1,1,14,0,1,0,1,10,20,0,NA,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,10,NA,0,NA,5,70,NA,50,NA,50,30,NA,2,30,30,2,NA,2,NA,5,2,1,4,2,"12"
"471","086614","010","0","0","040",5,5,5,12,0,1,NA,NA,NA,50,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,80,NA,NA,10,90,NA,0,NA,50,70,NA,2,80,10,3,NA,2,NA,1,3,1,4,2,"12"
"472","086614","040","0","0","010",1,1,1,13,0,1,20,1,40,10,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,50,2,10,NA,NA,0,0,NA,NA,NA,40,NA,20,NA,80,20,NA,2,10,80,3,1,1,1,NA,2,1,4,2,"12"
"473","086648","020","0","0",NA,1,1,1,13,2,1,998,1,0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,100,NA,2,100,NA,3,NA,3,NA,NA,3,1,4,2,"12"
"474","086653","011","7","7","811",1,1,1,16,0,1,5,1,5,100,100,50,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,25,50,NA,20,20,10,50,2,25,NA,50,50,2,1,NA,NA,3,NA,3,NA,NA,3,1,3,2,"12"
"475","086661","020","0","0",NA,1,1,1,16,0,1,10,2,0,0,NA,NA,0,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,30,NA,10,10,10,60,NA,10,NA,60,10,NA,2,30,50,3,NA,2,NA,1,2,1,4,2,"12"
"476","087114","020","1","1","021",1,1,1,15,0,1,0,1,0,90,50,0,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,0,0,NA,NA,0,100,NA,0,NA,998,60,NA,2,40,30,2,NA,2,NA,1,3,1,4,2,"12"
"477","087114","021","1","1","020",5,5,5,14,0,1,NA,NA,NA,80,0,NA,NA,1,NA,NA,100,80,NA,75,50,50,75,80,NA,75,NA,NA,0,80,NA,NA,NA,50,1,NA,75,75,75,NA,2,50,40,3,3,2,NA,5,3,1,4,2,"12"
"478","087114","010","2","2","011",5,1,1,16,0,1,20,2,50,60,50,10,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,60,NA,50,30,50,60,NA,70,NA,60,40,NA,2,40,50,3,NA,1,5,NA,3,1,4,2,"12"
"479","087114","011","2","2","010",1,5,5,13,0,1,NA,NA,NA,100,100,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,50,NA,NA,0,100,NA,0,NA,50,50,2,1,NA,NA,3,NA,2,NA,5,2,1,4,2,"12"
"480","087246","020","0","0","030",5,5,5,14,0,1,NA,NA,NA,100,50,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,50,30,NA,50,10,0,60,NA,20,NA,50,10,NA,2,0,10,2,NA,2,NA,5,3,1,3,2,"12"
"481","087246","030","0","0","020",1,1,1,15,0,1,50,2,50,100,30,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,40,50,NA,30,20,80,80,NA,70,NA,70,50,2,1,NA,NA,3,NA,1,5,NA,3,1,3,2,"12"
"482","087281","010","0","0","040",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"483","087281","040","0","0","010",1,1,5,11,3,1,NA,NA,NA,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,0,100,NA,NA,0,20,NA,NA,NA,998,998,NA,1,NA,NA,3,NA,1,1,NA,1,1,4,2,"12"
"484","087363","020","0","0","030",1,1,5,13,0,1,NA,NA,NA,100,90,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,30,60,NA,50,20,30,40,NA,50,NA,70,50,2,1,NA,NA,2,NA,1,1,NA,3,1,3,2,"12"
"485","087363","030","0","0","020",5,5,1,16,0,1,15,2,5,95,95,50,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,10,NA,5,5,5,10,NA,5,NA,50,55,NA,2,10,5,1,NA,1,1,NA,3,1,3,2,"12"
"486","087401","010","0","0","040",1,1,5,13,0,1,NA,NA,NA,100,100,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,0,5,NA,NA,50,100,NA,100,NA,100,50,2,1,NA,NA,3,NA,1,1,NA,1,1,1,2,"12"
"487","087401","040","0","0","010",5,5,1,17,0,1,100,2,30,50,0,NA,NA,1,30,50,NA,50,1,30,20,20,NA,40,NA,10,NA,NA,100,NA,100,50,NA,100,NA,NA,100,100,20,NA,2,20,20,3,3,1,1,NA,1,1,1,2,"12"
"488","087771","010","0","0","011",1,1,1,14,1,1,80,2,80,80,50,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,40,NA,20,10,10,50,1,80,NA,80,998,NA,1,NA,NA,3,NA,2,NA,1,2,1,3,2,"12"
"489","087771","011","0","0","010",5,5,5,13,0,1,NA,NA,NA,90,100,10,NA,1,NA,NA,NA,10,NA,0,80,NA,NA,90,NA,90,NA,NA,10,NA,0,NA,NA,70,NA,NA,50,50,30,NA,2,0,0,2,4,1,1,NA,2,1,3,2,"12"
"490","091304","010","0","0","011",1,1,1,3,3,1,998,1,998,998,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"12"
"491","091304","011","0","0","010",5,5,5,13,3,1,NA,NA,NA,0,NA,NA,0,1,NA,NA,10,NA,NA,0,0,NA,20,100,NA,30,NA,NA,80,NA,70,0,NA,998,NA,NA,998,0,998,NA,1,NA,NA,3,8,2,NA,1,3,1,4,2,"12"
"492","110096","010","0","0",NA,1,1,1,11,0,1,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,0,0,NA,NA,0,0,NA,NA,NA,0,50,1,2,0,0,3,NA,1,1,NA,3,1,1,2,"12"
"493","111640","010","1","1",NA,1,1,1,15,0,1,NA,NA,NA,90,30,0,NA,1,10,10,NA,NA,NA,NA,50,2,NA,NA,NA,90,NA,50,80,NA,30,5,5,90,NA,80,NA,80,97,NA,2,2,5,1,NA,3,NA,NA,1,1,1,2,"12"
"494","111640","020","2","2",NA,1,1,1,3,3,1,NA,NA,NA,998,NA,NA,NA,0,998,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"12"
"495","112575","010","0","0","020",1,1,1,16,0,1,10,2,70,100,100,90,NA,1,50,20,NA,NA,NA,NA,10,10,NA,NA,NA,80,NA,70,90,NA,60,10,30,80,NA,NA,NA,80,70,NA,2,20,60,2,NA,3,NA,NA,3,1,4,2,"12"
"496","112575","020","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"497","112899","010","0","0",NA,1,1,1,14,2,1,NA,NA,NA,50,50,10,NA,1,5,50,NA,NA,NA,NA,75,10,NA,NA,NA,998,NA,75,75,NA,10,10,0,50,2,NA,10,10,998,NA,1,NA,NA,3,NA,NA,NA,NA,3,1,4,2,"12"
"498","113575","010","0","0","020",1,1,1,16,0,1,50,2,10,50,50,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,10,40,NA,40,30,10,50,1,50,NA,80,20,NA,2,10,20,2,NA,2,NA,5,3,1,4,2,"12"
"499","113575","020","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"500","113613","010","0","0","020",5,5,5,13,0,1,NA,NA,NA,100,100,3,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,60,2,NA,0,NA,2,7,NA,9,NA,9,2,NA,2,1,7,2,NA,3,NA,NA,3,1,3,2,"12"
"501","113613","020","0","0","010",1,1,1,16,0,1,20,1,5,100,100,5,NA,1,5,50,NA,NA,NA,100,20,10,NA,70,NA,10,NA,NA,10,NA,0,NA,NA,30,NA,NA,50,50,45,NA,2,30,20,2,4,3,NA,NA,2,1,1,2,"12"
"502","114254","010","0","0","020",5,1,1,17,0,1,10,1,25,100,100,100,NA,1,0,100,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,60,25,NA,10,0,0,40,NA,70,NA,60,20,NA,2,25,20,2,NA,3,NA,NA,3,1,1,2,"12"
"503","114254","020","0","0","010",1,5,5,15,0,1,NA,NA,NA,99,99,50,NA,1,20,60,NA,NA,NA,80,10,1,NA,80,NA,70,NA,NA,40,NA,20,5,NA,30,NA,NA,30,20,60,NA,2,10,10,2,3,2,NA,5,3,1,1,2,"12"
"504","115270","010","0","0",NA,1,1,1,11,0,1,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,0,0,0,NA,NA,0,20,NA,20,NA,20,50,2,1,NA,NA,3,NA,1,1,NA,1,1,4,2,"12"
"505","116424","010","0","0","011",1,1,1,16,0,1,50,1,40,80,75,0,NA,1,NA,NA,30,NA,NA,NA,10,0,NA,NA,NA,50,2,50,50,NA,20,5,10,80,NA,NA,80,80,70,NA,2,10,50,2,NA,2,NA,1,3,1,3,2,"12"
"506","116424","011","0","0","010",5,5,5,15,1,1,NA,NA,NA,100,100,60,NA,1,998,0,NA,NA,NA,0,0,NA,NA,40,NA,25,NA,NA,100,NA,100,80,NA,100,NA,NA,100,100,30,NA,2,0,85,2,3,2,NA,1,2,1,3,2,"12"
"507","119804","010","0","0",NA,1,1,1,18,0,1,80,2,90,50,50,50,NA,1,70,70,NA,NA,NA,NA,NA,NA,70,NA,NA,90,NA,90,80,NA,80,60,90,90,NA,80,NA,80,80,NA,2,80,80,3,NA,1,1,NA,1,1,4,2,"12"
"508","120085","010","0","0","020",5,1,5,14,0,1,NA,NA,NA,100,90,50,NA,1,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,10,NA,30,2,NA,2,2,0,100,NA,80,NA,100,20,NA,2,10,90,2,NA,1,5,NA,3,1,4,2,"12"
"509","120085","020","0","0","010",1,5,1,15,0,1,20,1,0,100,0,NA,NA,1,NA,NA,10,NA,NA,0,0,NA,NA,50,2,20,NA,NA,80,NA,80,20,NA,70,NA,50,NA,70,30,NA,2,30,10,2,5,2,NA,1,2,1,4,2,"12"
"510","120250","010","1","1","011",1,1,1,14,0,1,90,1,10,99,80,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70,50,NA,20,0,10,50,2,30,NA,50,50,2,1,NA,NA,1,NA,3,NA,NA,3,1,4,2,"12"
