"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"370","064609","040","2","2","043",5,1,1,14,0,1,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,20,NA,0,NA,NA,50,NA,50,0,NA,90,NA,50,NA,50,20,NA,2,5,70,2,3,1,5,NA,1,1,4,2,"12"
"371","064609","043","2","2","040",1,5,5,14,0,1,NA,NA,NA,0,NA,NA,30,1,NA,NA,50,NA,NA,0,0,NA,40,50,2,30,NA,NA,50,NA,50,50,NA,75,NA,0,NA,50,100,NA,2,100,NA,2,3,1,1,NA,3,1,4,2,"12"
"372","064722","020","0","0","030",5,5,5,14,0,1,NA,NA,NA,90,70,10,NA,1,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,20,NA,10,20,10,70,NA,50,NA,50,70,NA,2,70,10,3,NA,1,1,NA,1,1,3,2,"12"
"373","064722","030","0","0","020",1,1,1,16,0,1,50,1,5,10,100,5,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,98,NA,80,10,NA,5,5,2,50,2,90,NA,90,80,NA,2,80,50,2,NA,3,NA,NA,3,1,2,2,"12"
"374","065116","010","0","0",NA,1,1,1,3,3,1,998,1,998,998,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,"12"
"375","065627","030","1","1",NA,1,1,1,14,0,1,15,2,5,2,0,NA,NA,1,50,50,NA,10,NA,0,0,NA,NA,5,NA,3,NA,NA,5,NA,0,NA,NA,0,NA,NA,NA,5,50,2,1,NA,NA,3,2,2,NA,1,3,1,3,2,"12"
"376","065627","031","5","1",NA,1,1,1,14,0,1,10,2,10,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,50,2,10,NA,NA,100,NA,10,80,50,80,NA,100,NA,100,50,2,1,NA,NA,3,1,3,NA,NA,2,1,3,2,"12"
"377","071259","010","0","0","020",5,5,1,17,0,1,10,1,10,100,60,20,NA,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,80,NA,60,50,10,10,NA,10,NA,50,50,1,2,10,10,1,NA,3,NA,NA,3,1,1,2,"12"
"378","071259","020","0","0","010",1,1,5,13,0,1,NA,NA,NA,80,20,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,60,NA,40,20,9,70,NA,80,NA,90,50,2,1,NA,NA,2,NA,1,1,NA,2,1,1,2,"12"
"379","071818","020","0","0",NA,1,1,1,13,2,1,NA,NA,NA,0,NA,NA,998,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,50,NA,50,0,0,60,NA,60,NA,50,70,NA,2,998,NA,3,NA,1,1,NA,1,2,1,2,"12"
